id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,0,0
mh1,mh1,50.0,1,1,1,1,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,10,0,1,0,0,12
mnh0,mnh0,50.0,1,2,2,3,1,3,16,3,3,4,4,3,9,3,9,9,14,9,9,3,3,3,14,3,13,3,14,3,3,14
mnh1,mnh1,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,7,7,7,14,7,11,7,14,7,7,14
mnh2,mnh2,50.0,1,1,1,1,1,15,1,1,1,1,1,1,6,1,6,9,6,6,6,1,1,5,6,1,8,1,6,5,5,12
mnh3,mnh3,50.0,1,2,2,2,1,2,2,2,2,2,6,2,2,7,2,2,2,2,2,7,7,7,2,7,2,7,2,7,7,2
mnh4,mnh4,50.0,1,1,4,6,2,7,7,20,7,7,7,7,7,8,12,12,16,12,12,9,8,8,19,8,13,11,19,8,8,15
mnh5,mnh5,50.0,1,3,3,3,1,6,6,6,6,6,6,6,11,6,6,6,6,6,16,6,6,6,6,9,6,6,6,6,6,6
mnh6,mnh6,50.0,2,1,3,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,8,8,11,1,8,1,13,1,8,8,1
mnh7,mnh7,50.0,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,9,10,6,6,6,2,6,7,6,2,6,6,12
lpsh0,lpsh0,1.0,1/2,3,3,3,1/3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3/5,3,3
lpsh1,lpsh1,1.0,1,1,1,1,1,1,1,1,1/2,2,2,1,2,2/3,2,2,2,2,2,2,0/4,2,2,2,5,2,2,2,2,2
lpsnh0,lpsnh0,1.0,1,1,1,1,1,3,3,3,3,3,5,3,3,3,3,3,9,3,8,3,3,3,3/10,3,7,6,3/10,3,3,10
lpsnh1,lpsnh1,1.0,1,1,1,1/3,1,1,1,1,1,1/4,1,1,1/7,1,1,1,8,1,1,5,5,5,1,5,1,5,1,5,5,1
lpsnh2,lpsnh2,1.0,1,1,4,1,1/4,1,1,1,1,7,7,1,1,9,1,1,13,1,1,9,9,9,16/15,10,1,9,13,9,9,13
lpsnh3,lpsnh3,1.0,1,1,2/3,1,1,4,4,4,4,4,5,4,4,4,4,4,9,4,6/8,4,4,4,11,4,4,4,4,4,4,4
lpsnh4,lpsnh4,1.0,1,2,2,2,3/5,2,2,2,2,2,2,2,9,2,10,10,16,10/13,13,2,2,2,16/19,2,14,2,16,2,2/7,16
lpsnh5,lpsnh5,1.0,1,1,1,1,1,1,1,1/6,1,1/6,1/6,1,1,1,1,1,1/17,1,15,1,1,1,17,7,1/14,1,17,1,12,1/17/18
lpmh0,lpmh0,1.0,0,1,1,5,2,6,6,6,6/10,6/8,6,6,0,6,0,0/11,12/13/14,0,0,6,6,6,15,6,0,6,15,6,6,16/15
lpmh1,lpmh1,1.0,0,5,4,0,0/3,6,25,6/7,7,6/7/8,6/8,7/9/10,7/13,7,0/7,19,20,0/7,0/7,7,7,7/11,7,7,16/18,12,7,7,7,0
lpmnh0,lpmnh0,1.0,1,1,1,1,1,1,1,4,4,4,6,4,10,4,4,4/13,4/14,4,4,4,4,4/9,4,4,4,4,4,4,4,4
lpmnh1,lpmnh1,1.0,1,1,1,5,4,5,24,5,5,5,5,5,16,7,5,5/22,5,5,5,5,5,12,5,5/9,21,5,5,5/11,5,5
lpmnh2,lpmnh2,1.0,1,1,1,3,1,3,3,3,3,3,3,3/6,11,3,3,3,3,17,21/22,8,3,8,3,3,13,3/8,3,3/8,8,3
lpmnh3,lpmnh3,1.0,1,1/3,1,1/3,1,1,1,7,1,1,6,1,1,1,11,1,11,12,12,1,1,10,15,1/9,11,1,15,10,10,16/15
lpmnh4,lpmnh4,1.0,1,1,3,1,2,5,5,5,5,5,5,5/6,5,12,19/21,19,24/25,19/21,19,12/15,17/12,12,24,12,22,18,26,12,12,24
lpmnh5,lpmnh5,1.0,1,2,1,1,1,1,1,1,1,1,1/3,1,16,10,16,16,16,16,16/18,14,10,13,25,12,16,10,26,13,10,22
lphh0,lphh0,1.0,1,17,17,18,7,40,18,37,20,18,18,21,20,20,30,20,20,30,30,20,24,20,32,20/23,30,28,32/34,20,20,20
lphh1,lphh1,1.0,6/7,21,23,27,18,47,46,0,36,33/35,33,36,36,0,42,36,36,36,36,0,0,0/40,45,0/39,36,0,36,0,0,36
lphnh0,lphnh0,1.0,1,7,5,5/8,4,42,42,41,8/10,9,9,8,8,8,8,31,35,8,8,18,18,17,32,13,8,27,40,8,8,37
lphnh1,lphnh1,1.0,1,3/7,3,11,2,81/11,80,79,25,19,19,26,59,25,25,25,69/70,63,63,50,41,46,78,42/43,60,57,76,41,41,74
lphnh2,lphnh2,1.0,1,3,3,3,3,3,3,41,9,8,5/6,9,13,9,29/30,9,9,28,28,9/10,9,9,9,9,21,11,40,9,9,33
lphnh3,lphnh3,1.0,1,1/6,1,1,2,48,45,7,18,8,12,18,18,21,29,29,39,29,29,23,23,24,41/42,23,29,23,35,24,23,38
