id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,6,1,10,1,10,0,3,10,1,0,10,10,0,5,0,0,1,0,0,1,7,0,0,1,1,1
mnh0,mnh0,50.0,1,1,14,1,1,1,1,14,1,4,4,1,14,4,1,1,4,10,4,4,14,4,4,15,15,4,4,15,15,15
mnh1,mnh1,50.0,1,1,1,1,1,1,1,5,1,1,1,15,5,1,1,1,1,1,1,1,8,4,1,5,5,1,1,5,12,5
mnh2,mnh2,50.0,17,1,1,1,1,1,17,1,17,1,4,17,1,1,17,17,1,1,12,1,1,1,2,1,1,2,3,1,1,1
mnh3,mnh3,50.0,1,1,1,1,1,3,33,1,1,15,3,33,29,15,34,33,18,15,15,15,28,24,11,32,32,11,14,32,32,32
lpsh0,lpsh0,1.0,1,1,1,1,1,1,1,1,1/10,1,1,1/12,1,1/6,1,1,0/1,1,1,4,7,1,1,1,9,1,3,1,1,1
lpsh1,lpsh1,1.0,1,2,1,2,2,2,1,6,1,2,2,1,6/9,2,1,1,2,2,2,2,8,2,4,6,6,4,2,6,6,6/11
lpsnh0,lpsnh0,1.0,9,1,1,1/2,1,2,10,7,9,2,2,11,7,2,11,10,2,2,2,2,7,4,2,7,7,2,3,7,7,7
lpsnh1,lpsnh1,1.0,1,1,8,1,1/7,1,1,17/18/9,22/23,1,1,1,1/9,1,1,1,1,1,1,1,1/9,1,3,14,14,3,4,14,14,16
lpsnh2,lpsnh2,1.0,1,1/2,1,2/4,1,4,1,1,1,4,4,1,1/15,4,1,1,4,4,4,9,1,11,4,1,1,4/5,7,19,1,1
lpsnh3,lpsnh3,1.0,1,1,1,1/2,1/25,1,34,1,1,1,1,1,1,1,1,38,1,1,1,1,1,1,3,28/29,29,1,23,30,29,32/28/29/31
lpsnh4,lpsnh4,1.0,1,20/8,1,8,8,8,1,25,1,8,8,1,21,8,1,1,8,8,8,8,21,8,9,21,21/22,9,18,21,21,21
lpsnh5,lpsnh5,1.0,1,1,1,1/2,1,1,1,1,16,1,1,1,1,1,1,1,1,1,10,1,1,11/12,1,1,14,1,7,1,1,1
lpsnh6,lpsnh6,1.0,1/13,1,1,1,1,1,1,1,14/15,1,6,18/20,1,1,21/14,16,7,1,1,1,1,1,1,1,1,1,1/5,1,1,1
lpsnh7,lpsnh7,1.0,1,2,1,2,2,2,19,17,1/19,2,2,19,1,2,19,20,2,14,2,2,1,12,2,1,1,4,10,1,1,1
lpsnh8,lpsnh8,1.0,1,1,1,1,1/15,2,1,1,1,2,2,27,1,2,1,1,2/13,14,2,2,1,2,2,1,1,2,12,16/1,17,1
lpsnh9,lpsnh9,1.0,1,1,1,1,1,1,15,1,15,1,1,15,1/9,7,15,17/15,1,1,1,1,1,1,3,1,1,3,1,1,1,1
