id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,7,1,7,1,1,1,0,9,0,1,1,13,0,1,0,0,1,1,1,1,0,1,0,9,9,4,5,9,9,9
mh1,mh1,50.0,1,1,1,1,1,1,1,1,1,1,1,1,4,1,13,10,1,1,1,1,4,1,1,0,0,1,1,0,7,7
mh2,mh2,50.0,1,1,1,1,1,1,37,1,1,1,1,36,1,1,36,37,1,1,1,1,1,1,24,1,1,24,27,1,1,1
mh3,mh3,50.0,1,1,1,1,1,1,1,12,15,3,3,16,1,3,18,1,3,3,3,3,1,3,3,8,8,4,3,8,6,6
mh4,mh4,50.0,1,1,1,2,12,2,0,1,0,2,0,0,1,2,18,0,2,2,2,2,1,2,4,14,17,6,2,17,14,14
mnh0,mnh0,50.0,1,2,1,2,2,2,27,11,1,2,2,27,11,2,27,27,8,10,2,2,11,2,4,18,18,4,7,24,18,18
mnh1,mnh1,50.0,1,1,1,2,1,1,17,11,1,1,1,13,1,1,13,17,1,1,1,1,1,1,1,6,6,1,1,9,6,10
mnh2,mnh2,50.0,1,2,1,2,2,2,1,13,1,2,2,1,13,2,23,1,2,2,2,2,13,12,10,18,15,10,11,13,13,13
mnh3,mnh3,50.0,12,1,12,1,1,1,15,12,15,1,1,15,12,11,15,15,1,1,1,8,12,5,3,12,12,3,1,12,13,14
mnh4,mnh4,50.0,1,1,1,1,37,1,1,39,1,3,3,47,39,3,1,1,3,3,3,3,39,3,33,43,43,33,3,43,43,43
mnh5,mnh5,50.0,4,1,4,1,1,1,4,7,10,1,1,4,5,1,4,4,1,1,1,1,5,1,1,6,6,1,3,6,6,6
mnh6,mnh6,50.0,1,1,1,1,1,1,1,15,1,1,1,20,1,6,22,1,6,6,6,6,1,6,1,10,12,4,1,11,10,13
mnh7,mnh7,50.0,1,6,1,1,6,1,1,13,1,1,1,16,1,5,1,1,5,5,5,5,1,5,2,8,8,2,1,9,8,8
mnh8,mnh8,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,13,24,1,13,13,13,13,18,13,2,21,21,2,12,21,21,21
mnh9,mnh9,50.0,1,1,1,1,1,2,1,1,1,2,2,1,1,2,12,1,2,2,2,2,1,2,4,1,1,4,2,1,11,11
mnh10,mnh10,50.0,1,1,1,1,5,1,14,1,18,1,1,14,1,1,14,14,1,1,1,1,1,1,1,1,8,1,1,1,1,1
mnh11,mnh11,50.0,1,1,1,1,8,1,1,1,1,1,1,1,10,1,1,1,1,1,1,5,1,5,3,11,11,3,4,11,13,12
mnh12,mnh12,50.0,1,1,1,1,1,1,15,1,13,5,1,25,1,5,28,15,5,5,5,5,1,5,4,1,1,4,1,9,1,1
mnh13,mnh13,50.0,1,1,1,1,1,1,10,1,10,1,3,11,1,1,12,10,1,1,1,1,1,6,1,8,8,1,2,8,8,8
mnh14,mnh14,50.0,1,2,1,3,2,3,1,17,1,7,7,1,14,7,1,1,7,7,7,7,14,7,7,15,15,7,11,15,16,15
lpsh0,lpsh0,1.0,1,1,20,1,1,1,1,1/21,1,1,1,1,1,1,1,1,19,1,0/1,1,1/22,1,2,1,1,2/5,14,1,1,1
lpsh1,lpsh1,1.0,1,1,1,1,0,1,1,0/1/8,1/13,1,1,1,8,1,1,16/15,3/4,1/7,1,1/5,8,6,1,8,8,1,1,0,10/11,10/12
lpsnh0,lpsnh0,1.0,1/11/12,1,7,1,1,2,13,8,13,2,2,13,8,2,17/18/13,16,2,2,2,2,8,2,2,8,10,2,2,8/10,8,8
lpsnh1,lpsnh1,1.0,1,1,1,1/2,8,1/2,13,1,13,1,1,16,1,6,19,13,1,6,1,5,11,5,1,1/12,1,4,1,1,1,1
lpsnh2,lpsnh2,1.0,1,2,1,2,2,2,1,1,1,2,2,1,20,2,1,1,2,16/17,2,2,20,13,2,1,1,12,2,1,1,1
lpsnh3,lpsnh3,1.0,1,1,1,1,1,1,1,1,1,7,7,20,1,7,1,1,7,7,7,8,1,8,3,17/18,18,5,1,18,15,15
lpsnh4,lpsnh4,1.0,1/10,1,5,1/2,1,1,11/12,5,11,1/4,1,11,5,4,11/13,11,1,4,4,1/4,5/7,1,1,9,9,3,1,9,5,5
lpsnh5,lpsnh5,1.0,1,1,1,1,1/8,1,27,1,27,5,1,27,1,5,27,27,5,5,5,5,1,7,1,1,16,1,3,12,1,1
lpsnh6,lpsnh6,1.0,17,1,1,1,1,1,18/21,16/1,18,6,1,21,1/12,6,21,21,6,6,6,9,1,6,1,14,14,1,4,14,14,14
lpsnh7,lpsnh7,1.0,1,1,1,1/2,1,1,9,8,10,1,1,9,1,1,9,9,1,1,1,1,1,1,3,1,1,3,1,1,1,1
