id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,2,0,0,20,14,14,14,14,14,0,22,0,0,0,0,3,14,0,0,14,17,27,12,0,0,0,14,14,14
mh1,mh1,50.0,4,1,1,1,1,13,13,15,13,13,1,1,1,1,1,9,1,13,1,1,13,14,1,7,0,9,1,13,13,13
mh2,mh2,50.0,1,1,1,1,1,1,1,0,1,1,1,1,5,7,1,7,1,0,1,1,1,0,1,7,7,7,1,1,1,1
mh3,mh3,50.0,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,10,1,0,1,1,26,21,1,8,8,8,14,1,26,1
mh4,mh4,50.0,1,1,1,1,16,1,1,1,14,1,1,1,1,7,1,7,2,13,3,1,1,12,18,7,8,7,10,1,1,1
mnh0,mnh0,50.0,1,3,3,3,18,3,3,10,11,3,8,19,3,3,3,3,3,3,8,7,3,3,19,3,3,3,3,12,3,14
mnh1,mnh1,50.0,1,2,26,2,2,26,26,26,26,26,4,39,2,7,4,22,4,26,4,4,26,28,39,7,21,7,2,26,26,26
mnh2,mnh2,50.0,1,2,2,2,2,2,2,2,2,2,4,2,2,9,5,2,5,2,8,5,2,2,2,2,2,2,2,2,2,2
mnh3,mnh3,50.0,1,1,1,1,1,1,1,23,1,1,1,1,15,15,12,19,6,23,1,9,1,23,1,15,15,19,1,1,1,27
mnh4,mnh4,50.0,1,1,1,1,1,14,10,1,10,14,5,1,1,1,3,1,3,9,5,3,10,1,1,1,1,1,1,10,10,14
mnh5,mnh5,50.0,4,5,5,5,5,5,5,5,5,5,9,5,11,11,5,11,5,5,9,5,5,5,5,11,11,11,5,5,5,5
mnh6,mnh6,50.0,1,1,7,7,1,7,7,7,7,7,1,1,1,1,1,1,3,7,1,1,7,7,1,1,1,1,1,7,7,10
mnh7,mnh7,50.0,1,1,1,1,1,19,20,20,20,19,1,23,10,12,1,10,4,20,1,1,20,20,23,10,10,10,5,20,20,19
mnh8,mnh8,50.0,1,1,6,6,15,6,10,6,10,6,1,13,1,1,1,5,1,6,1,1,10,6,13,1,4,1,1,10,11,6
mnh9,mnh9,50.0,1,2,10,1,1,15,15,15,15,15,1,1,5,5,1,5,1,15,1,1,15,15,20,6,5,5,7,15,15,15
mnh10,mnh10,50.0,2,1,1,1,1,1,1,1,1,1,1,8,1,1,4,1,1,1,1,4,1,1,8,1,1,1,1,1,1,1
mnh11,mnh11,50.0,1,1,1,1,10,1,1,1,1,1,1,10,1,1,1,1,1,1,3,1,6,1,11,1,1,1,1,1,6,7
mnh12,mnh12,50.0,1,1,21,1,1,21,21,21,21,21,9,1,1,1,5,1,5,21,2,6,21,21,31,13,1,1,17,23,21,21
mnh13,mnh13,50.0,1,1,1,1,23,1,1,1,1,21,1,1,1,1,2,1,3,1,1,2,1,13,1,1,1,1,11,1,1,20
mnh14,mnh14,50.0,2,1,29,29,33,32,29,29,29,29,15,1,1,1,4,1,10,29,19,4,29,29,34,1,25,1,1,29,29,31
lpsh0,lpsh0,1.0,0,0,0,0,19,0,0,0,0,0,6,21,8,8,6,8/12,6,0,7,6,0,0,21,11,8,8,16,0,0,0
lpsh1,lpsh1,1.0,1/2,4/6,4,4,4,30,4,4,4,30,7,4,27,0/4/28,9,0/4,13,4,26,9,4,4,4,4,4,4,4,4/31,4,32/30
lpsnh0,lpsnh0,1.0,1,1,1,1/17,1,1,1,1,1,1,9,1,10,10,2/7,15,4,18,2,2/7,21,1,25,10,14,15,1,19,21,1
lpsnh1,lpsnh1,1.0,2,7/8,7/8,7/8,7/8,22,7,16,7,22,9,7,7/10/11,7,7,7/14,7,7,7,7,18,7,31,7,7,7,7,7,7,22
