id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,52,27,38,41,33,27,27,44,33,27,48,38,1,27,27,27,27,27,46,27,27,32,33,45,38,0,33,27,27,27
mh1,mh1,50.0,15,15,8,1,1,1,16,1,1,1,1,6,1,1,1,1,1,15,1,3,16,1,0,12,6,1,1,1,1,16
mnh0,mnh0,50.0,1,1,8,8,15,1,33,16,16,1,1,8,1,1,1,1,8,1,29,2,1,4,8,1,8,9,16,28,1,1
mnh1,mnh1,50.0,19,19,4,1,1,3,19,7,8,17,17,4,1,1,10,1,1,19,1,1,19,1,6,1,4,4,7,1,17,19
mnh2,mnh2,50.0,2,2,9,4,4,6,26,4,4,2,2,12,1,31,2,2,4,29,24,4,2,8,4,2,12,14,4,24,2,2
mnh3,mnh3,50.0,2,2,2,2,2,2,2,13,13,21,21,2,1,1,2,23,4,2,18,2,2,2,2,16,2,2,13,18,21,2
mnh4,mnh4,50.0,1,15,2,2,2,2,13,7,2,9,9,2,1,1,1,1,2,1,9,2,1,2,2,9,2,2,2,9,9,1
mnh5,mnh5,50.0,1,24,10,1,1,6,17,1,1,1,1,10,1,1,1,1,8,1,11,2,18,1,1,1,10,10,1,11,15,20
mnh6,mnh6,50.0,1,1,16,4,4,9,1,18,18,1,1,13,1,1,4,1,4,1,1,9,1,9,4,22,13,4,18,1,1,26
mnh7,mnh7,50.0,1,1,1,8,8,1,25,11,1,12,18,1,1,1,1,1,1,1,12,1,1,1,1,12,1,1,1,17,22,25
lpsh0,lpsh0,1.0,1,17,1,1/7,1,2,1,1,1,1,12,1/5,1/18,1,1,1,1,1,1,1,1,0/3/4,1,1,1,1,11,1,12,1
lpsh1,lpsh1,1.0,3,3,17,19/21,21,3/7,3/27,3,22,0/3,25,9,1,1/3,3,3,3,3,3,3,27,3,19/21,3,9,9,3,3,3/25,27
lpsh2,lpsh2,1.0,3,3,3,3,13,5,3,3,3,0/28,0/27,0,1,3,19,3,0,3/31,0/22,7,0,5/9,3,3,0,0,3,21,0,3
lpsh3,lpsh3,1.0,1,1,12,12,0/16,3,1,12,12,23,1,12,1,1,1,1,2/11,1,0,2,1,8,17/12,1,12,13,12,21,1,1
lpsnh0,lpsnh0,1.0,26,34,3,6,9,3,32,3,3/11,3,3,4,1,3,12/13,3,3,3,20/21,3,26/28,3,3,3,3,3,3,19,3,26
lpsnh1,lpsnh1,1.0,12/14,12,2,2,2,2,13,8,2/8,2,2,2/4,1,2,2,2,2,11,2,2,12,2,5/6,2,2/4,2,2/8,9,2,12
lpsnh2,lpsnh2,1.0,30,2,3,3,3,3,25,3,3,2,18,3,1,2,2,2,3,2,2,3,2/20,2/3/4,3,16,3,3,3,17,2/18,23/24
lpsnh3,lpsnh3,1.0,27/28/31,27,14,14,14,7,28,20,18,7/25,7,14,1,7,22/10,7,10,33,7/23,7,27/28,12/13,14,7,14,14,18,7,7/24,28
lpsnh4,lpsnh4,1.0,8/29,30,13,17,17/19,11,8,13,13,22,8,16,1,8,8,8,12,8,8,8,8,10,17,8,16/15,13/14,20/13,8,8,8
lpsnh5,lpsnh5,1.0,17,18,1,4,4,2,13,5,5,1,1,1,1/19,1,1,1,3,1,11,2,13,2,4,1,1,1,5,9,1,13
lpsnh6,lpsnh6,1.0,30,30,18,14,14,7,30,23/24,24,1,27,14,1,1,25,1,5/10/11,30,1,9,31,7,14,1,14,16,23,26,1,30
lpsnh7,lpsnh7,1.0,37,5,10/14,17,19,5,34,20,5,23,23,11,1,5,5,5,5,5/38,24/25,5,5,5/7,5,24/26,10,13,5,24/25,23,5
lpsnh8,lpsnh8,1.0,56,56,56,56,62,57,56,56,56,68,68,60,1,56,66/56,68,56,56,68,58,56,57,64,73,60,60,56,68,68,56
lpsnh9,lpsnh9,1.0,1/17,1,7,1,8,1,1,1,1,14,1,1/6,1,1,1,1,1,1,1,1,1,1/4,9,1,6,1,1,11/13,1,1
lpsnh10,lpsnh10,1.0,13,13,3,3/6,3,3,13/15,3,7,8,8/11,3,1,3,3,3,3,13,3,3,14,3,6,8,3,3,3,3,8,13
lpsnh11,lpsnh11,1.0,1,1/17,5,2/7,2,2,1,2,2,1,1,5/6,1,1,2,1,2,1,1,2,1,2,2,11/14,5/6,5/6,2,1,1,1
lpsnh12,lpsnh12,1.0,28/31,28,3,3,3/9,3/4,28,3,3/10,23/24,24,3,1,3,3,3,3/7,26,15,3,28,3/6,3,14,3,8,3/10,3,24/25,28
lpsnh13,lpsnh13,1.0,22,1,5,1/7,1,2,19,1,1,14,1,6,1,1,1,15,1,1,1,3,1,2,9,11,6,6,1,1,1,19
lpsnh14,lpsnh14,1.0,1,17,6,1,7,2,11,1,1,1,1,1/4/5,1,1,1,1,1,1/11,1,1,1/11,1,1,1,1/4,4,1,1,1,1/11
lpsnh15,lpsnh15,1.0,15,21,2/5,2,2,2,1,2,2,13,11,3,1,1,9,1,2,1,12,2,1,2,7,1,3,2/4,2,12,11,1
lpsnh16,lpsnh16,1.0,27,36,7,11,3,2/4,33,12,12,15,15,7,1,1,2,14,6,38,15,2/3,27,5,3,17,7,9,12,15,15,31
lpsnh17,lpsnh17,1.0,25,24,1/8,1,1,4,21,1/12,1/11,19/20,18,6,1,1,1,1,1,1,1,1,1,1,9,1,1/6,1/7,1,17,1,21/22
lpsnh18,lpsnh18,1.0,1,11,6,6,6,3,1,6,6,1,1,6,1,1,1,1,4/5,1,1,1,1,1/3,6,1,6,6,6,1,1,1
lpsnh19,lpsnh19,1.0,20,20,20,27,27,25,42,24,32,20,20,20,1,20,24,37,24,20,34,25,20,25/26,27,24,20,20/24,24/29/30,24,35,20
lpsnh20,lpsnh20,1.0,23,23,16/15,3,17,8,27,3,3,3,3,14,1,3,3,3,3,23/28,3,12,23,8,3,3,3,3,3,20,3,23
lpsnh21,lpsnh21,1.0,10,11,4,7,7,4,8,4,4,4,4,6,1,4,4,4,4,8/13,4,4,8,4,7,4,6,4,4,4,4,8
lpsnh22,lpsnh22,1.0,80,80,1/63,1,1/73,8,80,1,1,76,1,68/72,1,1/84,1/75,1,62,80,1,1,80,1/3,74,1,68/72,63,1,1,1,80/81
lpsnh23,lpsnh23,1.0,38,38,10,12,31,3,38,34/3,34/3,1/36,1,10,1,1,1,1,9,1/38,1,3,38,3,3,1,10,10,3,1,1,45
lpsnh24,lpsnh24,1.0,3,3,6/8,6,6,5,22/24,10,6,3,3,6,1,3,3,3,4,3,3,3/4,3/19,3,9,3,6,6,6/9,15,3,3
lpsnh25,lpsnh25,1.0,47,47,1,23,32/33/30,14,47,34,1,41/45,41,1,1,1,1,46,16,1/51,37,13,48,1,1,36,1,1,1,37,44,47
lpsnh26,lpsnh26,1.0,14,14,1,6,6,1,16,1,1,11,11,1/4,1,1,1,7,3,13/14,9,1,14,1,6,7,1,1,1,7,7/10/11,14
lpsnh27,lpsnh27,1.0,2,2,2,7,6,2,2,2,2,2,2,4,1,1,2,2,2,2,14,2,2,2,2,10,4,4,2,2,2,2
lpsnh28,lpsnh28,1.0,32,32,10,9,9,6,31,9,15,25,5,11/12,1,5,6,5,8,26,16/23,6/7,26/28,6,9,20,11,10,9,16/23,5,26
lpsnh29,lpsnh29,1.0,1,56,1,1,1,1,1,1/7,1/7,49/51,46,1,1,1,1,1,4,1,1,1,1,1/3,1,23,1,1,1/10,1,46,1
lpmh0,lpmh0,1.0,0/1,30,1,0,0,5,25/28,1,1,19,19,10,1,1,1,1,1,1,1/15,3,23,8,1,1,10,1,1,18,19,1
lpmh1,lpmh1,1.0,37,28,1,1,12,0/1/6,36/27,1,1,26,26,9/11,1,1,1,1,7,27,19,1,31,1,1,1,9,1,1,16,26,33
lpmh2,lpmh2,1.0,35/45,0,14,15,17,7,35,19,21,0,26,0,1,5,0,0,8/9,35,5,0,39,0,15,25,0,0,19,5,5/26,40
lpmh3,lpmh3,1.0,43,6,0,0,21,13/15,6,0,0,27,6,0,1,6,0,33,17,6,6,0,40,16,0,24/26,0,0,0,6,6,6
lpmnh0,lpmnh0,1.0,30,30,2,2,2,9,36,18,18,26,1,2,1,1,2,1,2,27/30,1,5,32,15,17,1,2,2,19,21/22,24,30
lpmnh1,lpmnh1,1.0,49,50/51,8/10/11,1,1,5,1,1,16,24,30,9,1,1/52,1,43,1,1,23,1,46,1,14,21,9,9,16,1,39/41,1
lpmnh2,lpmnh2,1.0,69,70,28,46,46,36,63,48/49,28,50,56/58,42,1,28,28,32,39/28,59,32,34,59,36,46,32,42,42,48,52,50,63
lpmnh3,lpmnh3,1.0,1,1,27,28,28,23,1/54,35,32,38,38,26,1,1,36,53,25,1,49,1,1,24,28,41,26,26,28,49,38,1
lpmnh4,lpmnh4,1.0,2,2,2,2,16,5/8,30,19,2,24,25,12,1,2,2,2,2,2,2,2,28,5,2,21,12/14,10,2,22,24,2
lpmnh5,lpmnh5,1.0,50,54/56,10,14/15,15,1,46,24,20,43/44,43,1,1,1,1,1,2/4,1,26,1,46,1,16,34,1,1,21/14,37,43,46
lpmnh6,lpmnh6,1.0,40,43,8,8,8,4,34/38,13,17,4,25,11,1,4,4,4,8,46,4,4,34,4,16,20,8,8,13,21,30,34/35/36
lpmnh7,lpmnh7,1.0,29,29,4,4,4,6/9/10,33,17,4,22,23,4,1,4,19/4,26,11/12,29,4,4,29,4/6,4,4/21,4,4,4/14,4,22,33
lpmnh8,lpmnh8,1.0,49/51,52/37,12,1,14,1,47,22,17/20,33,33,1,55,1,1,1,1/5,36/53,1/27,3,37,1/4,1,25,1,1,17,1,33,45
lpmnh9,lpmnh9,1.0,32,41/43,7,14,9,2,37/39,16,2,27,29,2,1,1,1,1,2,32,25,2,32,2,9,1/21,2,2,2/15,1,30,35
lpmnh10,lpmnh10,1.0,32,44,1,21,23,11,37,1,1,27,1,1,1,1,1,1,1,48,1,11,34,11,16/1,1,1,1,1/25,1,1,32
lpmnh11,lpmnh11,1.0,1,1,7,16/17/18,19,4,48,16,16,38,32/33/34,13,1,1,1,1,1/4,1,31,4,39,4,16,29,13,13,16,1/30,35,48
lpmnh12,lpmnh12,1.0,44,64,21,26,31,10,1/42,37,33,1,1,1,1,1,1,1,1,1,1,1,41,2,1,38,1,1,33,1,1,1/41
lpmnh13,lpmnh13,1.0,49/42,65,14,16,17,5,42,1,1,32,32,13,1,1,19/20,1,1,66/42/45,21,1,42,9,1,21,13,13/15,18,29,32,42/47
lpmnh14,lpmnh14,1.0,54,45,36/37,4,4,10,53,4,4,42,42,4,1,3,4,4/44,4,56/58,4,4,45,20,4/39,4,4,4,4,4,42,48/45
lpmnh15,lpmnh15,1.0,57,57,25,8,8,8,56,33/34/8,27,53,49/36/47,8,72,8,35,54,8,56/57,38/43,8,56,8,8,41,8,14,8,42,51,68
lpmnh16,lpmnh16,1.0,47,47,25,27,26/13,8,6,13,13,42,42,20,1,6,6,6,13,51/6,6/38,9/10,6,8,13,35,20,18,13,6,42,45/46
lpmnh17,lpmnh17,1.0,32,32/37,14/15,11,17,5,32,22,18,30,1,11,1,1,1,1,10,32,1,1,32,1,11,1,11,11,18,1,1,32
lpmnh18,lpmnh18,1.0,2,38,15,2,2,8,34,18,18,29,32,2/14,1/40,1,21,2,2,2,24,9,34,10,17,27,2,2,18,24,29,34/35/36
lpmnh19,lpmnh19,1.0,3,3,3,3,33,8,72,3,3/39,53,50,10,1,1,3,67,3,3,43,3,70,6,3,47,3,3,3,43,50,70
lpmnh20,lpmnh20,1.0,14,14,4,4,4,9,14,4,4,38,32,4,1,4,4,14,4,14,15,6,42,6,4,24,4,4,4,29,35,48/46
lpmnh21,lpmnh21,1.0,35,61,16,2,2,4,36,2,20,27/28,29/31,13,1,1,2/3,2,11,62,2,4,36,8,2,2,12/13,3,2,2,29,39
lpmnh22,lpmnh22,1.0,1,50/51,12,16,19,5,42,22,24,39,39,11,1,1,1,26,7/8,1,26,2/3,42,5,16,28,11,11/15,22,30,39,42
lpmnh23,lpmnh23,1.0,48,48,22,24,25/12,5/9,42,12,33,34,34,13,1,2,2,34/40,2/11,49/42,34,6/7,42,2,27,34,13,12,12,37,34,42
lpmnh24,lpmnh24,1.0,40,53/54,12,7,18,2,49,20,7,30,30,9/10,1,1,1,36/21,6,55,27,1,41,2,7,23,7/9,7,7,21,30,46/47
lpmnh25,lpmnh25,1.0,1,58,16,1/18,19,8,1,23,34,42,42,12,1,1/3,1/40,42,1,59,42,1/7,1,1,1/17,48,12,12,23,50,42,57
lpmnh26,lpmnh26,1.0,40,44,14,16,15,3,37,5,5,33,17/24,10,1,3,3,17,5/8,35,17,3,38,3,5,18/23,5/10/11,5,5,17,17,37
lpmnh27,lpmnh27,1.0,33/2,35,13,16,2,3,2,2,2,23,23,2,1,2,2,19,6,36,19/22,3,26,3,2,19,2,2,18,19,23,2
lpmnh28,lpmnh28,1.0,24,25,4,4,11,5,22,16,13/14,21,21,7,1,2,2,2,4,2,19,5,2,5,4,17,7,4,4/15,17,21,2
lpmnh29,lpmnh29,1.0,3,66,11,7/12,15,3,3,8,8,32,3,8,1,72,3,58,3,3,31,3,3/60,3,17,24,8,8,8,25/26,3,3/61
lphh0,lphh0,1.0,83/79,91,32,39,34,19,79,7,52/7,77,70/72,7,1,5,7,78,0,92,5,12,79,19,51,5,7/30,7,7,65,75,82/79
lphh1,lphh1,1.0,144,146,18,29,34/35,15,137,39,37,0,123,23,0,4/7,7,127,7,134,46,11,140,15,7,99,23,25,37,0,123/125,137
lphh2,lphh2,1.0,62,3,0,22,23,0,53,25,25,48/49,45,14,1,3,3,31,10,3,31,4,3,9,17,0,14,15,25,31,45,3
lphh3,lphh3,1.0,106,109,29,16/31,33,10,104,47,44,93,94,0,1,7,6,96/97/6/95,13,6,84/85,10,6,10,16,59,0,26,34,82,93,100/102
lphnh0,lphnh0,1.0,61,59,13,16/14,17,12,6,30,22,49/47,47,6,1,3/4,6,52,6,6,42,8,6,12,6,37/38,6,6,19,44,47,56
lphnh1,lphnh1,1.0,150,157,84,4,96/87,60,2,111,109/110,125,126,76/77,161,1,112,1,69,158,120/123,56,127,64,97/86,117,70,4,100,115,125,139
lphnh2,lphnh2,1.0,72,76,24,33,34,7,66,41,40,46,58,22,1,1/83,1,59/61/62,1,63,54,7,67,7,33,47,21,21,37,53/47,56,68
lphnh3,lphnh3,1.0,90,108,25,36,38/39/40,12,3,30,30,57/60,57,22,1,1,43,61,3,112,53,14,67,12,30,3,22,21,30,52/46,57,83
lphnh4,lphnh4,1.0,64,63,18,25,25/27,14,2,25/29,28,48/39,41,21,1,1,1,52,16,2/66,2,5,56,15,25,35,21,18,25/28,38,47,62
lphnh5,lphnh5,1.0,110,114,36,37/38,37/41,20,101/104,37,37,6,6,33/34,1,6,6,6,31,66/116,6,18,90,26/28,49,6,33,33,55/57,6,6,101
lphnh6,lphnh6,1.0,64,70,14,24,28/31,14,66,39,36,54,55/56,18,1,12,14,57,14,64,45,16/14,64,14,14,46,18,17,38,50,55,64
lphnh7,lphnh7,1.0,40,40/56,1,1,20,8,51/47,26,23/24,36,34,17,1,58,1,38,10/11,40,28,5,42,5,1,29,1,1,23,33,34,50
lphnh8,lphnh8,1.0,93,96,22,32/33,34,16,80,40,28,66,45,22,1,6,6,68,18,99,45,6,91,16,37,48,22,22,28,61,45,80/92
lphnh9,lphnh9,1.0,35,74,12,21,24,9,52/68,5,31,49,43,16,1,1,5,35/37,5,78,35,7,51,7,21,35,13,12,5,39,44,65
lphnh10,lphnh10,1.0,62,69,4/27,30,39,7,66,4,41,47,48,4,72/73,3,4,60,20,71,3,9,62,18,4/40,3,4/25,26,42,3,58,66
lphnh11,lphnh11,1.0,1,49,15,17,18/24,8,48,37,33,1,39,9/12,1,1,1,41/44,1,50,38,2/3,46,2,17,1,9,9,35,38,1,1
lphnh12,lphnh12,1.0,49,82,22,24,15,14,49/50,15,15,37/44,41,19,1,1,28,48/47,10,6,29,10,50,12,23,33,16,16,15,29,41,49
lphnh13,lphnh13,1.0,80,85,24,32,33/31,20,52,38,37,48/50,44,29,1,3,3,3,3,86,42,19,60,19,3,42,29,24,3,42,47,67
lphnh14,lphnh14,1.0,98/115,98,58,77,67/79,40/43,113/114,80,82/83,93,90,51,1,1/117,2,2,2,116,88,35,103,45,67,2,48/49/47,47,80,86,91,107/109
lphnh15,lphnh15,1.0,4,97,56,64/63,62,33,94,70,74,78,78,58,1,4,7,76,40,99,90,29,4,39,68/69,83,56/58,59/60,70,90,78,4
lphnh16,lphnh16,1.0,2,65,18,34,30,9,51,39,38,50,43,28,1,2,2,2,2,76,48,4,2,10/11,30,47,24,29,38,49,43,51
lphnh17,lphnh17,1.0,95,115,10,51,51,1,95,62,59/60,91/92,77,16,1,1,68,69,1,69,75,1,95,6,51,69,10,34,59,69,69,112/113
lphnh18,lphnh18,1.0,65,62,21,24,24,3/9,63,32,33,36,36,18,1/68,1,1,34,2,61,36,3,61,3,30,41,18,16,32,53,56,63
lphnh19,lphnh19,1.0,88,91,35,41,36,18,87,49,36,75,70,29,1,2,8,78,8,6,69,20,84,25,46,58,27,27,36,67,73,86
lphnh20,lphnh20,1.0,2,90,37,39,39,9,2,8,8,55,80/78/79,31,1,93/94,53,84,30,2/92,67,9,2,9,45,55,31,31,8,63,83,87
lphnh21,lphnh21,1.0,93,110,20,35,20,21,89,37,37/42,83/84,73,29,111,16,18,43,20,43,65,21/23/24,43,21,36,66,31,32/20,37,71,74,86
lphnh22,lphnh22,1.0,128/126,130/5,49/50,57,64,16,122,88,67,5,102,27,1,5,5,5,23,5,100,10,112,17,66/58,5,27,24,68,99,101/104,116
lphnh23,lphnh23,1.0,74,76,4/20,46/47,50,8,72,53,55,3,3,14,1,1,4,3,4,72,57,10,72,8,27,60,17,19,53,66,67,72
lphnh24,lphnh24,1.0,1,96,21,44,48,16,91,53,50,86,84,35,101/102,1,71,1,19,1,77,15,87/89,13,40,72,35,32,50,1,82/85,90
lphnh25,lphnh25,1.0,84,97,24/30,40,34,18,75,53/47,52,61,65,24,1,11,16,72,16,101,54,18,16,18,34/43,57,24,26,48/47,59,61,16
lphnh26,lphnh26,1.0,73,190,3,27,30,3,74,3/37/38/39,36,67,69/70,19,1,2,3,40,3/12,192/193,42,7,75,9/10/11,33,42/43/44,17,3/20,3,65,67,78
lphnh27,lphnh27,1.0,2,2,28,41,42,2,2,28,28,64,64,36,1,74,2,2,18,73,57,11,70,16,47,49,31,37,28,51,68,2
lphnh28,lphnh28,1.0,55,55,25,15,34/30,12,65,15,15,51,44,22,1,1,7,1,15,53,39,7,56,7,36/37/15,39/40,16,16,15,39,49/44,62
lphnh29,lphnh29,1.0,84/85/86,101/103,20,23,21,11,3/68,48,21/45,65/66,49,15,1,1,3,3,3,104,52,9/10,68,13,43,49/51,15,19,46,53,61,72
lnpsh0,lnpsh0,1.0,1,1,1,1,1,1,1,15,12,22,22,1,1,1,1,16,1,1,21,1,1,1,9,19,1,1,10,21,22,1
lnpsh1,lnpsh1,1.0,0,0,1,1,1,14,0,1,1,18,24,1,1,1,1,18,1,32,21,8,31,10,1,20,1,15,1,21,18,0
lnpsnh0,lnpsnh0,1.0,23,23,1,1,1,6,23,1,1,21,21,12,1,1,1,1,1,23,1,1,23,1,1,1,12,1,1,1,22,23
