id feature HI AR GK AL TB VE AV OC LI OE OI LA LU LY TA PE PR LT GO ON OG WE OS UM 
10 belly 1 2 3 4 5 6 6 7 8 9 10 11 12 13 5 14 18 18 9 9/19 9/20 15/21 16 17 
11 big 1 2 2 2 3 2 2 4 5 14 6 2 7 8 9 10 11 12 14 14/15 14 6 13 13 
12 bird 1 2 3 4 5 6 6 7 8 9 10 6 11 12 5 13 14 7 9 9 9 10 15 6 
13 bite 1 2 3 4 5 3 3 6/18 6 7 8 9 10 11 12 13 14 6 7 7 7 15 16 17 
14 black 1/15 2 3 4 5 6 7/16 6 8 9/17 10 11 1/18 12 5 13 6 3 9 9 9 10 14 11 
15 blood 1 1 2 3 1 1 4 5 14 6 7 8 1 9 1 10 14 1 6 6 6 11 12 13 
16 blow 1 2 3 4 5 6 6 6/18 7 6 8 9 10 11 5 12 13 7 6 14 6/14 15 16 17 
17 bone 1 1 1 2 1/3 1 1 4 5 6 7 1 1 8 3 9 5 5 10 6 6 1 11 12 
18 breast 1 2 3 4/16 2 2 2 5 6 7 8 9 1 10 2 11 12 6/17 7 7 7 13 14 15 
19 breathe 1 2 3 4 5 5 5 6 7 5/18 5 8 9 10 11 12 13 14/19 5 5 15 5 16 17 
20 burn 1 2 3 4 4/15 4 4 5 4 6 7 8 9 10 4 11 12 4 6 6 6 7 13 14 
21 child 1 2 3 4/22 5 6/23 7 8 9 10/24 11 12 13 14 5 15 16 17 10 10 18 19 20 21 
22 claw 1 2 3 4 5 3 6 3 3 7 3 3 8 9 10 11 12 3 13 7 7 14 15 16
23 cloud 2 5 1 7 11 1/6 5/6/15 8 3 20 4 15 9 10 11 12 13 3/21 14 16 20 17 18 19  
24 cold 1 2 3 4 5 6 7/8 9 8 10 17 11 12 13 5 14 8 7/8 10 10 10 17 15 16 
25 come 1 2 3 4 5 6/7 6/7 8/16 9 5 10 5 1 11 5 6/7 12 13 5 5 5 14 15 5
26 count 1 2 3 4 5 6 7 8 9 10/11 10 12 13 14 15 16 17 9 18 11 11 10 19 20
27 cut 1 2 3 4 5/18 6 6 7/8 6/8 16/9 7 7 1/17 10 5/18 6 11 12 13 16/9/13 9 14 15 7 
28 day 11 2 2 12 3 1 4 13 13 5 6 1 7 8 3 9 13 13 5 5 5 10 14 14 
28a day 13 1 2 14 3 4 4 15 15 5 6 1 7 8 3 9 10 15 5 5 5 1 11 12 
29 die 1 2 3 4 5 2 2 2 13 6/15 7 2 8 8 8 2 9 13 14/15 10 6/10 2 11 12 
30 dig 1 2/17 3/18 4 5 6 6 7/19 8 9/20 10 1 11 12 5 6 13 14 9 9 9 10 15 16/21 
31 dirty 1 2 3/23 4/24 5 6 7 8 9/25 10/26 11 12 13 14 15 16 17 18 19/27 19/28 19/29 20 21 22/30 
32 dog 1 1 1 2 1 1 1 3 1 9 1 4 1 5 1 6 1 1 9 9 9 1 7 8 
33 drink 1 2 3 3 1 3 4 3 5 6 3 3 1 7 1 8 3 5 6 6 6 3 3 9 
34 dry 1 2/17/18 3 4 5 16 16 6 6 7 8 9 10 11 5 16 6 6 12 12 7/12 13 14 15 
35 dull 1 2 3 4 5 6 7 8 9/24 10 11 12 13 14 15 16 17 18/25 19 20 20 21 22 23 
36 dust 1 2 3 4 5/23 7 8 9 10 6 12 13 14 15 5/23 16 17 18/24 19/25 11 19/26/27 20 21 22 
37 ear 1 2 2 2 3 4 5 2 2 10 9 2 1 6 3 5 2 2 10 10 10 9 7 8 
38 earth 1 2 3 1 1 1 1 11 11 4 5 6 1 7 1 8 11 11 4 4 4 9 6 10 
39 eat 1 1 1 2 3 1 4 1 5 1 6 1 1 7 3 8 1/5 1 1/11 1 1 9 1 10 
40 egg 1 2 3 4 5 6 7 3 8 3 9 3 10 11 12 13 14 15 16 3 3 3 17 18 
41 eye 1 2 2 3 2 2 4 2 2 9 8 2 1 1 2 4 2 2 9 9 9 5 6 7 
42 fall 1 6 2 7 3 4 2 4 8 5 9 10 11 12 3 13 14 15 16 5 5 17/18 19 20
43 far 1 2 14/18 3 4 17 17 5 6 15 7 16 8 9 4 17 10 6 15 15/19 15 11 12 13 
44 fat 1 2 3 4 5 6/18 6/19 7 7/20 8 9 10 11 12 5 13 7/21/22 7 14 8 15 16/23 17 10 
45 father 1 2 2 1 2 2 2 1 3 2 2 2 4 4 2 2 3 3 1 2 2 5 2 2 
46 fear 1 2 2/19 3/20 4 5 5 16 17 6 21 7 8 9 4 10 17 18 6/21 11 6 12 13 14 
47 feather 1 2 19 4 20 21 21 3 5 6 7 18 8 9 10 11 12 13 14 6 6 15 16 17 
48 few 1 2 3 4 5 6 7 8 9 10 11 19 12 13 14 7 15 9 10 10 10/20 16 17 18 
49 fight 1 2/22 3 4 5 6 6/7 7/8 9/23 10/11 10 12 13 14 15 16 17 18 10 8/10 11 19 20 21
50 fire 1 1 1 2 1 3 4 3 3 1 5/9 3 1 6 1 4 1 3 1 7 1 5 8 1 
51 fish 1 2 2 3 4 5 5 6 2 7 15 16 8 9 10 11 2 2 7 7 7 12 13 14 
52 five 1 2 2 2 2 2 2 2 2 6 2 2 3 4 2 5 2 2 6 6 6 2 2 2 
53 float 1 2 2 2 2 2 3 2 4/5 5 6 7 8 9 10 11 12 5 13 5 5/14 6 15 16 
54 flow 1 2 3 4 5 3/6 6/7 8 8 9 10 11 1 12 13 14 15 8/16 17 16/17 16/17 18 19 20 
55 flower 1 2 3 4 5 6 7 8 9 10 11/12 13 14 15 5 16 17 18/19 20 10/20 20 11 13 21
56 fly 1 2 1 3 4 1 1/4 5 6 7 4 8 9 10 4 11 12 13 14 7 7 1 15 16
57 fog 1 2 3 4 5 6 7 3 3 8 9 10 11 12 13 14 15 3 16 17 10 18 19 20
58 foot 1 1 1 2 1 1 1 3 4 1 5 1 1 1 1 1 3 4 1 1 1 5 1 1 
59 four 1 2 2 2 2 2 2 2 2 5 2 2 1 3 2 4 2 2 5 5 5 2 2 2 
60 freeze 1 2/21 3 4 5 6 7 8 9/22 10 11 12 13 14 15 16 17 9 10 10 10 10 18/19 20 
61 fruit 1 2 3/24 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 10 21 22 23 
62 full 1 2 3 4 5 6 6 6 6 6 6 11 7 8 5 9 6 6 6 6 6 6 10 11
63 give 6 2 7 3 1 7 7 8 8 4 5 7 6 6 1 7 8 8 4 4 4 9 7 7 
64 good 1 2 3 4 5 6 6 7 8 9 10 11 6 12 5 6/17 13 13 9 9 9 14 15 16 
65 grass 1 2 3 4 5 6 7 8 9 10 11 12 13 14 5 15 16 9 17 10 10 1 18 19 
66 green 1 2 3 4 5 3 6 3 17 7 8 9 1 10 11 12 17 17 13 7 7 14 15 16
67 guts 1 2/20 2 3 4 2 5 6 7 8/21 9 2 10 11 12 13 14 15 16 8/15 8 17 18 19 
68 hair 1 2 3 4 5 6 7 7 8 9 20 10 11 12 13 14 15 16 17/21 9/17 9/22 20/23 18 19 
69 hand 1 1 1 1 1 6 6 2 2 3 4 5 1 1 1 6 2 2 3 3 3 4 5 5 
70 he 1 2 3 4 4 4 4 1/5 1 6 1 1 1/7 1/7 4 4 4/5 8 1 6 1 4 1 1 
71 head 1 2 3 4 5 6 6 7 7 8 9 10 11 12 13 14 7 7 8 8 8 9 15 16 
72 hear 1 2 3 4 11 2 2 12 5 3 2 6 1 7 11 8 5 5 3 3 3 2 9 10 
73 heart 1 1 1 2 3 9 9 1 1 10 1 1 1 4 3 5 1 1 10 10 10 6 7 8 
74 heavy 1/2 3 4 5 6 4 4 7 8 1/9 10 4 1/11 12 6 13 14 15 4 9/16 1/9 10 17 18
75 here 1 1 3 6 6 7 7 1 6 1 6 4 1 2 6 7 6 6 1 1 1 8 9 10 
76 hit 1 2 3 4 5 6 6 7 8/9 11/18 10/19 20 12 12 5 6 13 14 11/21/22 11/20/23/24 11 15 16 17 
77 hold 1 2 3 4 6 8 8 10 13 15 9 18 11 12 17 8 13 14 16 15 16 7 5 18 
78 horn 1 2 12 3 2 13 14 4 4 11 5 15 16 6 2 7 4 4 11 11 11 8 9 10 
79 how 1 2 2 2/10 3 2 2 2 2 2 2 2 4 5 6 7 2 2 2 2/11 2 2 8 9 
80 hunt 1 2 3/22 4 5 6 7 8 9 10 11 12 13 14 15 16 9 9 17 18 18/23 19 20 21 
81 husband 1 2 2 3 4 4/13 4 5 11 11 11 6 7 7 4 8 11 11 9 11 5 11 10 12 
82 I 1 1 1 3 4 1 1 1 1 1 2 1 2 2 4 1 1 1 1 1 1 2 1 6 
82a me 2 2 2 2 4 2 2 1 1 6 2 2 2 2 4 2 1 1 3 3 3 2 5 2 
83 ice 1 2 3 4 5 6 7 8 8 7 1 9 10 11 12 13 8 8 14 7 7 1/15 16 17 
84 if 1 2 3 4/16 5/17 6 6 7/18 13 14 8 9 8 10 5 6 15 6 14 11 11 12/19 9 9 
85 in 7 1 1 1 2 3 4 1 1 1 1 1 7 7 2 5 1 6 1 1 1 1 1 1 
86 kill 1 2 3 4 5 1 1 6 7/18 8 9 10 11 12 5 1 13 13/19 8/14/20 14/21 8/14 15 16 17 
87 knee 1 1 1 1 1 1 1 2 9 10 11 1 3 4 1 5 6 9 10 10 10 11 7 8 
88 know 1 2 2 3 4/11 2 2/5 2/5 5/12 2 2 6 7 8 4/5 5 2 5 2 2 2 2 9 10 
89 lake 1 2/18 3 4 3 5/19 6 7 7 8/9 10 10 11 12 3 13 7 7 8/9 14 9 15 16 17 
90 laugh 1 2 2 3 4 5 6 7 8 9 10 11 12 13 4 14 15 7 9 9 9 16 17 18 
91 leaf 1 2 3 4 5 6 7 8 9 10 11 3 12 13 5 14 15 9 10 10/16 10/16 11 17 18 
92 left-hand 1 2/19 3 4/20 5 6 6 6 7 8 9 10 11 12 5 13 14 15 16 8 8 17/21 18 18 
93 leg 1 2 3 4 5 6 7 8 9 10 11 2 12 13 14 15 16 9 17 18/22 19 11 20 21 
94 lie 1 2 1 3 4 1 1 4 5 4 4 6 1 1 4 7 8 5 4 4 4 9 10 11 
95 live 1 2 9 3/12 9 9 9 9 10 4 11 9 5 6 9 9 9 9 4 4 4 11 7 8 
96 liver 1 16 2 3 4 2 2 5 6 7 8 2 9 10 11 12 2 2 13 7 7 8 14 15 
97 long 1 2 3 4 5 6 6 6 15 7 8 7 9 10 5 6 15 11 7 7 7 12/13 14 16 
98 louse 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 9 18 10 10 10 19 20 
99 man 1 2 2 3 4 2 2/5 6 5 5 5 5 7 8 4/11 2 5 5 5/12 6/13 6 5 9 10 
100 many 1 2 3 4 1 5 3 6 7 3/6 3 8 9 10 1 3 11 7 3/6 6 3/6 12 13 14 
101 meat 1 2 3 2 2 2 4 2 2 5 6 7 8 9 10 11 2 12 2 13 5 14 15 16 
102 moon 1 2 3 4 5 5 5 10/5 5 12 6 10 1 1 5 5 5 5 12 7 12 11/13 8 9 
103 mother 1 2 2 3 2 2 2 2 2 2 2 2 1 1 2 2 2 2 4 2 2 5 2 2 
104 mountain 1 2 3 4 5 6 6 19 7 8 9 10 11 12 5 13 14 7 15 16 8 20 17 18 
105 mouth 1 2 3 4 5 1 1 6 7 8 9 1 1 10 5 11 6 12 8 8 8 9/13 14 15 
106 name 3 1 1 1 1 1 1 1 2 1 1 1 4 4 1 1 1 2 1 1 1 1 1 1 
107 narrow 1 2/17 3 4 5 2 6 2 7 2/18 2/8 2 9 10 11 12 13 7 2/14 2/14 2 2/8 15 16 
108 near 1 2/20 3/21 4 5/22/23 6 7 8 9 10 11 12 13 14 15 7 16 17 10 10 10 18 19 19 
109 neck 1 2 3 4 5 6 6/7 8/19 9 10 11 10 12 13 14 15 16 9 10 10/20 10 7/21 17 18 
110 new 1 9 2 3 1 1/10 1 1 10 10 10 1 1 4 1 5 1 6 10 10 10 10 7 8 
111 night 1 2 3 3 4 1/3 1 3 3 3 5 3 6 7 4 1 3 3 3 3 3 3 8 9 
112 nose 1 2 3 4 5 6 6 6 6 6 7 6 8 9 5 6 6 10 11 6 6 12 13 14 
113 not 1 2 2 1 3 1 1 1 1 1 1 1 1 1 3 1 1 1 1 4 1 1 1 1 
114 old 1 2 3 4 5 2 2 6 2 7 2 6 8 9 5 10 11 6 12 12 7/12 2 13 14 
115 one 2 2 2 2 2 9 10 3 4 1 1 1 5 6 2 10 1 4 1 1 1 1 7 8 
116 other 1 2 2 3 2 4 4 5/11 6 10 2 2 7 8 2 4 6 6 10 10 10 2 2 9 
117 person 1 2 3 4 5 6 7 8 9 6 10 9 11 12 13 7 9 14 6 6 6 10 9 9
118 pierce 1 2/21 3 4/22 5 6/23 7 8 9/24/25 10 11 8/26 12 13 5 14 8 9 15 16 17 18 19 20 
119 play 1/25 2 3 4 5 6 7 8 9 10 11/26 12 13 14 15 16 17 18/27 19 20 21 22 23 24 
120 pull 1 2/21 3 4 3 5 6 7 8 9/10 11 9 12 13 14 15 16 7 17 9/22 10/17 18 19 20 
121 push 1 2 3 4 5 5/19 6 7 8 9 10 11 12 13 5 14 15 8 9 9 9 16 17 18  
122 rain 1 2 3 3 18 4 5 6 7 8 9/19 10 11 12 18 13 14 7 8 8 8 15 16 17 
123 red 1 2 3 4 3 12 12 5 13 14 14/15 3 6 7 3 8 9 10 14 14 14 14/16 11 3/14 
124 right-hand 1 2 3 13 4 14 14 14 14 5 15 16 6 7 8 9 10 11 17 12 17 18 16 16 
125 right 1 2 3 4 5 6/19 17 7 8 18 9/20 18 10 11 12 13 14 15 18 18 18 9/21 16 18 
126 river 1 2 3 4 5 6/16 7/17 8 9 10 1 11 1 12 13 7 9 9 10/18 10 10/19 1 14 15 
127 road 1 2/15 3 4 5 6/7 6/7 6 8 9/16 10/17 11 12 13 5 6 6 8 9 9/18 9 14 11 11 
128 root 1 2 3 4 5 6 7 8 9 10 11 10 12 13 14 15 9 9 10 10 10 10 16 17 
129 rope 1 2/23/24/25 3/26 4/27 5 6/28 7 8 8/29 21/9/10 11/30/31 12 13 14 15 16 8 8/32 17 22/9/10/33 21/10/34 18 19 20 
130 rotten 1 2 3 4 5 6 17 7 18 19 8 20 9 10 11 12 13 21/23 19 22 19 14 15 16 
131 round 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 9 18 10 10 11 19 20 
132 rub 1 2 3 4 5/22 6 7 8 8 9 10 11 12 13 14 15 16 17 18 18 9/23 19 20 21 
133 salt 1 2 2 3 11 4 5 2 6 12 13 2 7 8 11 9 2 2 12 12 12 13 10 2 
134 sand 1 2 2 3 4 5 6 7 8/19 2 9 10 11 12 4 13 14 8 15 2 2 16 17 18 
135 say 1 2 3 4 17 5/6 6/20 7/18 1/8 8/15 9 10 11 12 13 4 14 8/19 15 8/15 8/15 16 10 10 
136 scratch 1 2 3 4/24 5 6/25 7 8 9/26 10/27 11 12 13 14 15 16 17 18 19 12 20 21 22 23 
137 sea 1 2 3 4 5 6 7 8 9 10 8/16 8 11 12 13 7 9 9 8 10/17 8/10 8 14 15 
138 see 1 2 3 4 5 6 7 8 9 10 11 8 12 13 5 7 8 14 10 10 10 15 16 8 
139 seed 1 2 2 3 4/5 6 7/8 9 10 11 12 9 1 18 4/5 13 9 10 14 14 9 15 16 17 
140 sew 1 2 3 4 5 6 7 6 6 6 8 6 9 10 11 12 13 6 6 18 14 15 16 17 
141 sharp 1 2/19 3/20 4 16/21 5 17 18 18 6/7 8/22 19 9 10 11 17 12 20 6 6/7 6/7 13/23 14 15 
142 short 1 2 3 4 5 6 3 7 8 9 10/19/20 3 1 11 12 13 14 14 15 16 16/21 10/22 17 18 
143 sing 1 2 3 4 5 6 7 5 8 9 10 10 11 12 5 13 14 15 9 9/17 9 10 16 10 
144 sit 1 2 1 3 1/4 1 1 2 2 8 9 2 1 5 4 6 10 2 8 8 8 11 7 2 
145 skin 1 2 3/19 4 5 6 7 8 9 10 11 10 12 13 5 14 10 9 15 10/20 10/15 16 17 18 
146 sky 1 2 3 4 5 6 6/7 1 8 9 10 11 1 12 13 7 8 1 9 9 9 14 15 16 
147 sleep 1 2 3 4 5 1 6 6 7 8 9 10 11 12 5 13 7 14 8 6 8 15/16 17 18 
148 small 1 2 3 4 5/19 6 7 8 9 10/11 12 13 14 15 5/20 16 5 9 10 10/21 10/11 12/22 17 18 
149 smell 1 2 2 3/20 4 5 6 7 8 9 10 2 11 12 4 13 14 2/21 15 16 9 17 18 19 
150 smoke 1 2 3 4 5 17 6 17 17 7/18 9 17 10 11 12 13 17 17 14 7 7 8 15 16 
151 smooth 1 2 3 4 5 6 7 8 8 9 10 3 11 12 13 14 15 8 16 16 16/20 17 18 19 
152 snake 1 2 3 4 5/2 3 3 6 7 8/9/10 9 11 12 13 5 14 11 15 8/9 8/9 8/9 9/16 17 18
153 snow 1 2 2 3 4 2 5 6 6 6 7 8 9 10 11 12 6 6 6 6 6 13 14 15 
154 some 1 14 2 3 4 15 5 16/20 17 18 6 19 7 8 4 15 9 10 18 18 18 11 12 13 
155 spit 1 2 3 4 5 6 3 3 3 3 7 3 8 9 10 11 12 3 3 3 3 13 14 15 
156 split 1 1/18 2 3 4 5 6 7 17 8 9 2/5 10 11 4 12 13 17/19 14 8 8/20 21 15 16
157 squeeze 1 2 3 4 5/21 3 6 7 8 9 10 11 12 13 14 15 16 17 9 9 18 10 19 20 
158 stand 1 2 3 4 5 3 3 6 7 8 3 9 3 3 5 3 10 7 8 8 6/8 11 9 9 
159 star 1 1 1 2 11 1 1 3 3 12 4 1 5 6 11 7 8 3 12 12 12 1 9 10 
160 stick 1 2/23 3/24 4/25 5 6 7 8 9/26 10 11 3 12 13 14 15 9 16/27 17 18 19/28 20/29 21 22 
161 stone 1 2/16 3 4 5 6 6 6 6 7 8/17 9 10 11 12 6/18 13 6 7 7 7 14/19 15 9 
162 straight 1 2 3 4 5 6 6 7 8 17 6 17 9 10 11 12 13 8/18 17 17/19 17 14 15 16 
163 suck 1 2/17 2 3 4 2 5 15 6/18 16 2/19 16 7 8 9 10 11 6 12 16 16 2/20 13 14 
164 sun 1 2 3 4 5 3 3 3 12 13 6 3 11 7 5 8 12 12 3/13 3 13 3 9 10 
165 swell 1 2/21 2 3 4 5 5 6 7/22 8 9 10 11 12 13 14 15 16/23 17 8/24 8 18 19 20 
166 swim 1 2 3 4 3 2 5 2 6 7 3 3 8 9 10 11 12 13 14 7 7 3 15 16
167 tail 1 2 3 4 5 6 7 8 9 10 23 11 12 13 14 15 16 17 18 19 10 20 21 22 
168 that 1 2 3 4 4 4 4 4/5/6 4 4 4 7 1 8 4 9 4 4 4 4 4 4 7 7
169 there 2 3 5 6 6/1 6 8 6 6 6 9 7 10 11 6 4 6 6 6 6 6 12 7 7/13 
170 they 1 2 3 4 4 4 4 1/5 1 6 1 1 1/7 1/7 4 8 4/5 9 1 4 4 4 1 1 
171 thick 1 2 3 4 5 3/20 6 7 8 9 9/21 10 11 12 13 14 15 16/22 17 9 9 9 18 19 
172 thin 1 2 3 4 5 6 7 6 8 6 6/17 6 9 10 11 12 13 6 14 6 6 6 15 16 
173 think 1 2 3 4 5 6/18 6 7 8/19 9/10 11/20 12 6 13 5 6 14 22 9/21 9 10 15 16 17
174 this 1 1 2 3 2 4 4 1/5 1 6 2 7 1 8 2 2/4 1 1 2 6 6 2 4 4 
175 thou 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 
175a thee 2 2 2 2 2 2 2 2 1 7 2 2 2 3 2 2 1 4 6 6 6 2 5 2 
176 three 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
177 throw 1 2/16 3/17 4 5/18 1/19 1/20 6/21 6 7 8/22/23 9 10 11 12 1 6 6/24 7 7/25 7 13 14 15 
178 tie 1/14 2 3 4 5/15 1/3/6/7 1/6 8/16 9 6/17 7/10/18 4 1/19 11 5 6 9 1 6 6 6 10/20 12 13 
179 tongue 1 2 3 4 8 9 15 10 11 12 13 2 1 5 8 15 10 6 12 12 12 13 14 7 
180 tooth 1 2 2 3 3 2 2 3 2 2 2 2 4 5 3 6 2 3 2 2 2 2 2 7 
181 tree 1 2 19 1 3 4 5 1/20 6 18 7 8 9 10 3 11 12 13 14 18 17 7/21 15 16 
182 turn 1/16 2 3/17 4/18 5/19 6/20 7 8 6 9 10 6 11 12 5 6 6 6/21 9 13/22 9/23 14 15 6 
183 two 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 1 
184 vomit 1 2 3 4 5 3 3 6 3 7 8 3 9 10 11 12 3 3 13 7 7 8/14 15 16 
185 walk 2 3 4 5 1 6 6 1/7 1 8/9 10/11 12 13 14 1 15 16 1/17 8 8 8/9 18 19 12 
186 warm 1 2 2 3 4 5 2/6 6 7 8 6 6 9 10 11 12 13 7 8 8 8 6 14 15 
187 wash 1/14 2 2/3/15 2 4 3 3/16 5 6 7/8 3 2 9/17 10 4 11 5 6 7 7 8 12 13 2 
188 water 1 2 1 1 1 1/3 4 1 1 1 1 5 3 6 1 4 1 1 1 1 1 7 5 1 
189 we 1 5 2 2 8 1 1 6 6 1 2 2 3 4 8 1 6 6 1 1 1 2 7 9 
189a us 2 2 2 2 1 2 2 2 3 2 2 2 2 5 1 6 3 3 2 2 2 2 4 7 
190 wet 1 2 3/22 4/23 5 6 7 8 9 10/11 12 13 14 15 16 17 18 9 19 10 11/19 12 20 21 
191 what 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 
192 when 1 8 9 10 2 11 11 12 11 13 14 15 16 3 2/18 4 11 11 13 13 13 17 5 6 
193 where 1 5 6 7 2 8/16 8/16 9 5 10 11 9 12 13 3 4 14 5 10 10 10 15 9 9 
194 white 1 2 3 4 1 1/5 5/16 6 15 14 7/17 8 9 10 1 11 12 15 14 14 14 7/18 13 8 
195 who 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
196 wide 1 15 2 3 16 14/2 14/17 4 14 5/6 15 7 8 9 16 10 11 14 5 5/6 5/6 15 12 13
197 wife 1 1 1 2 1 1/13/14 3 1 4 1/15 1/16 5 6 7 1 8 1 9 1 1 1/17 10 11 12 
198 wind 1 2 2 3 10 11/14 11 12 13 10 4 10 5 6 10 7 12 13 10 10 10 10 8 9 
199 wing 1/22 3 19 4 5 20/23 20 6 21 2 17/24 7 8 9 10 11 12 21 13 14 2 18/25 15 16 
200 wipe 1 2 3 4 5 6 7 8 9 10 11 12 1 13 5 14 15 16 17 18 17 19 20 21 
