id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,7,8,2,1,2,2,2,2,2,2,4,2,4,2,2,2,4,2,2,2,2,4,2,14,4,2,2,2,2,2
mnh0,mnh0,50.0,1,1,1,16,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,3,1,1,1,5,6,1,1
mnh1,mnh1,50.0,1,1,16,1,1,1,15,17,1,20,1,1,1,1,12,21,3,10,13,10,21,8,10,21,5,13,1,1,1,24
mnh2,mnh2,50.0,1,6,1,16,1,1,6,1,6,1,1,1,1,1,1,1,1,1,5,1,14,1,1,12,1,5,9,6,6,1
lpsh0,lpsh0,1.0,13,1,1,1,1,1,1,1,1/14,1,1,1/10,1,1,1,18,1,1,1,1,18,1,1,18,8/9,1,16,16/14,14,18
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1,1,16/1,1,1,1,2,1,2/6,2,1,3,2,2/9,2,17,1,2,17,3,2/9,12,1/13,1,1
lpsnh1,lpsnh1,1.0,1/2,1/12,1/2,1,2,2,1,2,14,2,2,11,2/5/6/7,11,11,2,2,11,11,11,2,6/8,11,2,4,11,17,14,14,2
lpsnh2,lpsnh2,1.0,1,1,1,1/20,1,1,1,1,9,1,1,1,1,1/6,1,1,1/3,7,1,1,1/18,4,7/8,1,1/2,1,15,16/10,11,1
lpmh0,lpmh0,1.0,1,1,1,0,1/3,3/4,21,1/22,1,22,4,1,4/11,0,0,22,10,0,0/15,0,22,4,0,0,6,15,18,16,1,22
lpmnh0,lpmnh0,1.0,1/19,1,1,1,2,2,1,1,1,1/21,2/7,11,2,11,11,29,5/6,11,18,17,28,2,11,28,2,18/11,1,1,20,29
lpmnh1,lpmnh1,1.0,1,1,1,1/31,1,2,1,1/28,1,1,6,13,6,13,17/22,1,6/7,13,17,13,30,6,15,30,6/7,17,24,24,27,1
lpmnh2,lpmnh2,1.0,1,1,1,47,1,1,1,1,1,1,1,4,1,4,11,33,1,4,11,10,33,1,4/7,41,1,11,1,14,30,33
lphh0,lphh0,1.0,1,0,0,57,2,3/27,0,0/51,46,0,3,29,25/26,30,29,0,3,38,43,33,0,11,38,52,8/9,29,46,46,46,0
lphnh0,lphnh0,1.0,1,10,1,33,1,8,10,26,11,26,1,9,1,9,9,28,4,9,9,9,28/30,1,9,30,4/5,9,17,15,22,32
lphnh1,lphnh1,1.0,1,28,1,41/42,1,6,30,32,28,34,10,18,12,18,18/23,34,10,20,23/24,20,34/36,10,21/22,34,10,23,29,29,29,34/37
lphnh2,lphnh2,1.0,5,5,5,78,11,11,5,63,5,63,11,30,11,32,24,63,12,35/39,47,29,64,11,39,69,12,52/47,58,55,61,63
lnpsh0,lnpsh0,1.0,0,0,0,0,0,0,12,0,0,0,0,2,0,2,2,0,0,2,2,2,16,1,2,17,0,2,8,5,5,18
lnpsh1,lnpsh1,1.0,1,0,0,0,1,1,0,15,0,15,3,1,3,1,1,15,1,5,1,1,15,3,5,15,2,1,11,0,13,15
lnpsnh0,lnpsnh0,1.0,1,1,1,11,1,1,1,1,1,1,3,7,1,7,7,1,1,7,7,7,1,1,7,10,1,7,1,1,1,1
lnpsnh1,lnpsnh1,1.0,8,9,2,1,3,3,2,2,9,2,3,2,3,2,5,2,3,2,2,2,13,3,2,13,3,2,9,9,9,2
lnpsnh2,lnpsnh2,1.0,1,1,1,1,1,2,1,1,1,1,2,5,2,5,5,1,2,5,5,5,13,2,5,13,4,5,11,6,1,1
lnpsnh3,lnpsnh3,1.0,1,10,10,15,1,1,10,10,10,13,1,1,1,8,1,10,1,1,1,1,10,1,1,10,1,1,10,10,11,10
lnpsnh4,lnpsnh4,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,15,1,3,15,1,1,1,1,10,15
lnpsnh5,lnpsnh5,1.0,2,7,7,17,2,2,7,7,7,15,2,2,2,5,4,7,2,4,4,4,7,2,4,7,3,4,14,7,7,7
lnpsnh6,lnpsnh6,1.0,1,8,8,1,1,1,8,8,9,8,1,1,1,1,7,8,1,6,1,1,17,1,6,17,1,1,15,9,9,8
lnpsnh7,lnpsnh7,1.0,1,4,8,18,1,1,7,4,4,4,1,1,1,1,1,10,1,1,1,1,10,1,1,10,1,1,4,4,4,16
lnpsnh8,lnpsnh8,1.0,1,1,1,1,1,1,30,32,1,32,1,1,1,1,1,37,1,10,1,1,34,5,10,35,1,1,20,11,11,36
lnpsnh9,lnpsnh9,1.0,2,13,13,17,2,2,13,13,13,13,2,2,5,8,10,13,2,8,8,8,16,6,8,13,2,8,13,13,13,13
lnpsnh10,lnpsnh10,1.0,2,2,2,18,2,2,2,2,2,2,5,2,5,2,2,2,2,2,2,2,15,7,2,16,2,2,13,2,2,2
lnpsnh11,lnpsnh11,1.0,1,1,1,28,3,3,15,1,1,1,3,1,8,1,1,20,3,1,1,1,19,7,1,19,5,1,13,11,10,20
lnpsnh12,lnpsnh12,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,3,6,1,4,1,1,1,1
lnpsnh13,lnpsnh13,1.0,2,2,2,1,5,5,2,2,2,2,5,2,7,8,2,2,5,8,2,8,2,5,8,2,5,2,2,11,2,2
lnpsnh14,lnpsnh14,1.0,1,1,11,1,2,2,1,11,1,11,3,1,3,1,1,11,3,1,1,1,11,3,1,11,3,1,9,9,9,11
lnpsnh15,lnpsnh15,1.0,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,18,1,1,1,1,1,1
lnpsnh16,lnpsnh16,1.0,8,1,1,1,1,1,22,1,1,1,1,5,2,5,5,1,1,5,5,5,23,2,5,23,1,5,10,10,10,1
lnpsnh17,lnpsnh17,1.0,5,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,13,10,1,1
lnpmh0,lnpmh0,1.0,1,1,1,1,1,1,1,1,15,1,9,1,10,1,1,69,6,12,1,13,1,10,12,64,6,1,54,55,17,69
lnpmh1,lnpmh1,1.0,1,1,1,38,1,1,23,28,17,31,1,1,3,1,1,1,1,0,1,1,1,3,8,33,1,1,17,17,18,1
lnpmh2,lnpmh2,1.0,2,2,2,1,2,2,2,2,12,2,2,2,0,2,0,0,4,2,9,2,2,2,2,2,6,9,12,12,13,0
lnpmsh0,lnpmsh0,1.0,1,1,1,1,5,5,23,25,1,25,6,5,6,5,12,27,9,5,5,5,27,6,11,27,6,5,16,18,16,29
lnpmsh1,lnpmsh1,1.0,2,2,2,58,2,2,49,2,16,53,2,12,2,12,12,54,2,12,12,13,56,7,12,56,2,12,20,46,18,54
lnpmsh2,lnpmsh2,1.0,1,1,1,32,1,1,25,1,1,1,1,4,1,4,4,1,1,6,4,6,31,1,6,31,1,4,9,9,16,1
lnpmsh3,lnpmsh3,1.0,1,1,1,1,2,3,1,1,1,19,3,1,8,1,1,22,5,10,1,12,22,3,11,22,3,1,17,1,18,22
lnpmsh4,lnpmsh4,1.0,2,2,2,37,2,2,2,2,2,2,2,2,7,13,18,2,6,14,13,14,2,2,14,2,4,13,20,20,35,2
lnpmsh5,lnpmsh5,1.0,1,1,1,1,1,1,1,1,1,1,1,12,11,12,12,41,1,15,12,15,26,9,15,26,7,12,20,1,1,38
lnpmsh6,lnpmsh6,1.0,1,1,1,1,1,1,1,1,20,35,1,8,1,8,15,56,1,8,13,8,1,1,8,1,1,13,23,23,31,55
lnpmsh7,lnpmsh7,1.0,17,18,1,45,2,2,18,40,18,41,3,1,3,1,16,43,3,12,1,12,41,10,12,41,5,1,20,18,33,41
lnpmsh8,lnpmsh8,1.0,12,14,14,1,3,3,14,14,18,14,3,3,3,8,10,43,3,8,10,8,44,6,8,48,3,10,37,39,41,49
lnpmsh9,lnpmsh9,1.0,3,40,3,1,3,6,3,56,41,56,8,3,8,16,37,56,10,3,33,18,56,15,17,56,10,33,47,51,52,56
lnpmsh10,lnpmsh10,1.0,4,4,4,1,4,7,4,40,27,40,9,16,9,22,16,40,11,16,16,16,40,14,16,40,11,16,33,27,38,42
lnpmsh11,lnpmsh11,1.0,1,1,22,38,1,8,1,27,1,24,2,11,5,11,11,24,4,13,11,13,30,7,13,30,3,11,21,19,1,34
lnpmsh12,lnpmsh12,1.0,1,1,1,35,1,1,1,25,1,1,3,1,3,7,7,1,4,8,7,8,1,3,8,1,4,7,16,1,21,29
lnpmsh13,lnpmsh13,1.0,3,18,18,1,3,3,31,18,18,18,4,8,4,8,16,37,4,14,8,8,18,4,14,18,7,8,19,26,30,35
lnpmsh14,lnpmsh14,1.0,1,1,1,48,1,1,1,44,17,44,1,1,4,7,12,46,1,7,10,7,46,1,8,46,3,10,17,17,22,46
lnpmsh15,lnpmsh15,1.0,1,18,1,1,1,1,18,39,20,37,6,11,6,11,11,37,1,14,16,14,37,6,14,45,1,16,27,22,32,37
lnpmsh16,lnpmsh16,1.0,2,1,1,25,2,2,1,1,1,14,2,2,2,2,2,14,2,2,2,2,14,2,2,14,5,2,1,9,12,14
lnpmsh17,lnpmsh17,1.0,3,1,1,1,3,3,1,1,1,11,6,3,6,3,3,11,6,3,3,3,12,8,3,12,6,3,10,1,1,11
lnphh0,lnphh0,1.0,5,0,0,1,6,7,48,0,0,49,9,21,17,0,21,0,0,21,21,0,0,19,21,0,14,21,42,0,0,0
lnphh1,lnphh1,1.0,1,19,1,54,1,1,0,52,21,52,1,12,6,13,18,53,5,13,13,13,52,6,15,52,1,13,25,21,47,53
lnphnh0,lnphnh0,1.0,56,1,93,1,5,5,92,94,65,94,17,38,16,45,40,98,14,54,55,45,94,23,54,97,14,55,88,65,90,98
