id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,1,1,1,1,1,1,1,1,13,1,5,1,5,5,1,5,1,1,1,1,1,5,5,1,5,1
mnh0,mnh0,50.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,10,10,6,10,1
mnh1,mnh1,50.0,1,1,1,1,1,1,1,3,1,1,9,9,9,9,14,9,14,14,17,14,10,9,12,9,12,14,14,13,14,23
mnh2,mnh2,50.0,1,1,4,1,1,1,1,1,1,4,25,6,27,6,6,23,6,6,6,6,6,26,6,26,6,12,6,6,6,26
mnh3,mnh3,50.0,1,2,1,2,1,2,2,2,2,7,7,14,7,7,7,14,11,7,7,11,8,7,8,7,8,7,7,8,7,7
lpsh0,lpsh0,1.0,1,1,1,1,1,1,1,2/3,1,1/15,1,1/11,1,1,1,1/9/11,1,1,1,1,1,1,1,13,1,1,1,1/5,6,13
lpsnh0,lpsnh0,1.0,1,1,1,1/3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,6,1,1,1,1,1,7
lpsnh1,lpsnh1,1.0,1,1,1,1,1,1,1,1,1,1/12,1,1,1/10,8,1,1,1/5,1,1,1/5,1,1,1,1,1,1,1,1,1,1
lpsnh2,lpsnh2,1.0,1,1,1,1,1,1/2,3,1/3,1,1/4,13,7,15,7,7,7,7,7,12,7,9,20,9,7,9,7,7,9,7,17
lpmh0,lpmh0,1.0,3,1,1,1,1,1,1,1,7,1,13,18,13,13,13,18,13,13,13,13,14,13,14,13,14,13,13,15,13,28/29
lpmnh0,lpmnh0,1.0,1,1,1,1,1/2,1/5,1,1,1,1/29,20,20/24,25,20,6,23,6/12,6/13,1,12,6,25,6,25,10,16/15,17,6,17,28
lpmnh1,lpmnh1,1.0,6,1,1,1,4/5,1,1,1,1,10,1,1/22,31,21,1/14,23,1,14,17,1,1,30,1,32,1/11,16,16,13,16,32
lpmnh2,lpmnh2,1.0,1,3,1,3,1,3/6,3/7,3/7/8,9,1,32,29,33,29,10,29,10,20,23,10,12,34,12,34/35,13,21,21,19,21/22,34
lphh0,lphh0,1.0,1,3,12,3,2,3,3,4,5,56,39,39,48,39,23,39,23,23,12,32/23,26,39,26,51,26,35,23,29,23,51
lphnh0,lphnh0,1.0,1,1,8/9/10,1,1/2,1,4,1,5,10,57,48,48,48,16,48,16,16,44,16,33,72,33,69,33,16,40,33,40,69
lphnh1,lphnh1,1.0,1,1,1,18,4,14,15,15,17,62,49/37,43,50,40,28,48,28,36/28,27,28,28,37,28,52/53/54,30,33,34,30,35,59
lphnh2,lphnh2,1.0,1,3,20/21,16/15,2,4,6,3,9,22,51,59,51,57,28,59,28,40/28,44,31,28,51/76,29,56,29,39,33,29,37,75
lnpsh0,lnpsh0,1.0,1,1,1,1,1,2,1,1,1,1,1,6,15,6,4,9,4,4,1,4,4,17,5,0,4,4,4,4,4,0
lnpsh1,lnpsh1,1.0,3,1,1,1,2,1,1,1,1,1,1,1,1,1,5,1,5,5,4,5,4,7,4,7,4,5,5,4,5,0
lnpsh2,lnpsh2,1.0,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,8,5,5,1,5,1,5,5,5,5,5,1
lnpsnh0,lnpsnh0,1.0,1,1,9,1,1,1,1,1,1,9,9,9,9,9,11,18,11,11,14,11,11,9,13,9,11,11,11,12,11,9
