id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,2,1,1,1,1,1,1,4,1,1,7,4,4,7,1,11,1,11,4,15,4,1,4,4,7,15,1,1,1
mh1,mh1,50.0,1,1,25,1,1,13,1,1,1,1,20,1,4,1,9,20,15,6,0,1,1,1,20,1,3,1,1,22,20,23
mnh0,mnh0,50.0,3,1,3,22,3,3,3,11,3,11,3,11,10,3,11,3,3,14,3,3,3,3,3,3,3,11,3,3,19,3
mnh1,mnh1,50.0,1,2,1,1,1,16,1,1,1,12,17,12,7,1,12,23,1,12,1,1,1,1,21,1,7,14,1,17,17,17
mnh2,mnh2,50.0,1,1,1,17,3,3,1,3,3,3,3,3,3,7,3,16,3,3,3,7,3,7,3,7,3,3,3,3,3,3
mnh3,mnh3,50.0,1,1,1,2,2,2,1,5,6,11,2,11,6,10,11,2,2,11,13,9,2,7,16,7,6,11,14,2,2,16
mnh4,mnh4,50.0,1,1,1,21,1,1,1,1,2,1,1,1,1,2,11,1,1,1,1,2,1,2,1,9,1,1,12,13,1,1
mnh5,mnh5,50.0,1,2,1,1,1,8,1,1,1,1,1,1,1,1,1,1,11,5,11,1,9,1,25,3,4,7,12,15,1,17
mnh6,mnh6,50.0,1,1,1,3,3,3,1,3,3,3,15,3,3,3,3,15,10,3,13,3,10,3,15,3,6,3,10,15,15,19
mnh7,mnh7,50.0,1,1,1,1,1,1,1,1,1,1,1,9,1,1,9,1,11,1,11,2,11,1,1,1,1,9,15,1,1,1
lpsh0,lpsh0,1.0,1,1,1,1,1,1,0/40/41,1,1,8,0,8,1,4,8,0,1,8,1,0/4,1,0,0/38,4,1,11,1,0,0,37
lpsh1,lpsh1,1.0,1,1,1,1,1,1,1,1/2,2,2,16,2,2,2/3,12,0,1,2,1,2,15,2,16,2/3,11,2,15,17,16,16
lpsh2,lpsh2,1.0,1,1,1,1,1,1,22,1,1,9,1,9/11,1,1,9/11,1,14,9/10,1/14,1,1,1,21,1,5,13,1,1,1,17
lpsh3,lpsh3,1.0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,2,1/18,9/10/11,0/2,9/12,1,13/15,1,1,1,1,0,16,1,1,17
lpsnh0,lpsnh0,1.0,3,1,49/50,3,3,3/42,49/50,40,3/5,40,3,40,3,3,40,3,44,41,44,3,45/46,3,3,22,3,40,45,3,3,3
lpsnh1,lpsnh1,1.0,1,1,1,31,25/26,25/26/27,1,1,1,1,1,1,1,1,1,1,28,16,28,1,25,1,1,10/15,1,23/24,25,1,1,1
lpsnh2,lpsnh2,1.0,1/12,1,1,1/9,1,1,1,2,2,5,9,2/5,2,2,5,9,1/7,5,1/7,2,1,2,9,2,2,5,1/8,9,9,9
lpsnh3,lpsnh3,1.0,1,1,1,1,1,1,1,1,4,7,1,7,2,4,7,1,10,7,10,4,11,4,13,4,6,7,11,1,1,12
lpsnh4,lpsnh4,1.0,1,1,1,1,1,1,1/11,1,2,1,1,1,1,2,1,1,9,1/7,9,2/3,9,2,1,2,1/6,1,9/10,1,1,1
lpsnh5,lpsnh5,1.0,4,1,4,4,4/26,4/26,4/37/38,4,4,13,4,12,4,4,23,36,27,13,27,4,29,4,34/4,4,4/9,24,30,33,4,4
lpsnh6,lpsnh6,1.0,1,1,1,1,1,1,1,1,1,1,16/17,1,1,1,1,19,13,4,13,1,6,1,18,1,1,1,6,16,16,16
lpsnh7,lpsnh7,1.0,1,1,1,1,1,1,1,2,2,6,1,6/7,2,2/3,8,1,14,6,17/18,2,1,2,23,2,4,7,19,1,1,1/20
lpsnh8,lpsnh8,1.0,1/19,1,1,1,2,2,1,2,2,2,1,2,2,2,2/9,1,2,2,2,2,2,5,16,6,2,11,2/13,1,16,16
lpsnh9,lpsnh9,1.0,1,1,1,1,1,1,1,1,1,7,12,5/7,1,1,5/7,19/12,10,7,10/11,2,1,1,17,1,1,5,1,12,12,12
lpsnh10,lpsnh10,1.0,1,1,1,1,1/2,1/2,1,2,2,2,1/11,2,2,2,2,18,9,2,9,2,10,2,1,2,7,2,10,1,1,12/13
lpsnh11,lpsnh11,1.0,1,1,1,1,10,10,1,1,1,5/7,45,5/7,1,1,7,45,10,7,10,1,10,1,51,1,1,5/7/8,17,45,48,48
lpsnh12,lpsnh12,1.0,2,1,2,2,2,2,2,2,6,2,17/2,2,4,6,2,2/19,2,2,8,6,15,6,2,6,2,2,15,2,2,2
lpsnh13,lpsnh13,1.0,1,1,1,1,1,1,15,1,1/3,8,1,8,3,1/4,8,12,1,8,1/10,1/4,1,1,1,4,3,8/9,1,1,1,1
lpsnh14,lpsnh14,1.0,1,1,1,32/2,2,2,1,4,4,4/8,19/20,4,7,4,4,2,14,4,14,4,18,4/5,2,4,4,4,18,2/19/20,2,30
lpsnh15,lpsnh15,1.0,1,2,1,1/15,14,13,1,1,1,1,16,1,1,3,12,17,13,1/11,13,3/4/5,13,6/7,16,8,9,1,13,16,16,16
lpsnh16,lpsnh16,1.0,1,1,1,1,12,12,1,1,7,11,1/18,11,7,7,11,25,16,11,16,7/8,16,7,18,7,7,11,16,19,1/18/22,18
lpsnh17,lpsnh17,1.0,1/47,1,46,1,1/22,1,1,9,1,9,1,9,1,1,9,1,23,9,23,1,1,1,1/45,4,1,21,1,1,1,42
lpsnh18,lpsnh18,1.0,1,1,1,1,1,1,1,1,1,1,12,1,1,2,1,12,1,1,1,2,6,2/5,1/14,2,1,1,6/9,12,1,1
lpsnh19,lpsnh19,1.0,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,20,13,1,13,1,15,1,1,1,1/4,1,15,1,1,18
lpsnh20,lpsnh20,1.0,1,3,1,4/28,1,1,1,4,4,4,24,4,4,4,4/11,27,17,4,17/20,4,4,4,24/25,6,7,4/13,4,24,24,24
lpsnh21,lpsnh21,1.0,44,1/2,1,1,1,1/19,43,1,1,1,1,1,17,1,1,41,1,1,1,1/4,24/27,8/9,1/39,11,1,1,24,1,1,38
lpsnh22,lpsnh22,1.0,1,1,1,1,1,1,1,1,3,1,1,1,1/2/6,3,1,16,11,1,11,3,1,3,1,5,8,1,1,1/15,1,1
lpsnh23,lpsnh23,1.0,1,2,1,1,1,1,1,1/6,1,1/8,17,1,1,1,9,17,14,7,14,1/4,10,1,17,1,1,1,10,17,17,17
lpsnh24,lpsnh24,1.0,1,1,1,1/3,3,3,1/20,1/3,4,1/3,1,1,1/7,4,1,1,1,3,1,4,10,4,1,4/6,1,1,10,1,1,19
lpsnh25,lpsnh25,1.0,1,1/2,1,1,1/8,1/8,1,1,1/3,1,1,1,1,1/4/5,7,1,1,1,1,4,9,4/5,1,1/5,1,1,9,1,1,1
lpsnh26,lpsnh26,1.0,1,1,1,14,1,1,1,1,1/2,1,17,1,1/6/7,1,1,17,1,1,11,1,1,1,17,1,5,1,1,23,17,17
lpsnh27,lpsnh27,1.0,1,1,1,1,1,1,1,8,1,1,1,1,1/6,1,1,21,10,1,1,1,13,1,1,2,1,1/9,13,1,1,1/17
lpsnh28,lpsnh28,1.0,1,1,1,1/10,1,1,1,1,1,1,11,1,1,1/3,1,14,8,1,8,1/3,5,1,11,1,1,4,9,11,11,11
lpsnh29,lpsnh29,1.0,1,3,1,26,1,1,1,1,1,1,1,1,9,1,1/10,1,1,1,1,1,15,1,1,6,1/8,1,16,21,1,1
lpmh0,lpmh0,1.0,1,7,1,1,1,1,89,9,12,9,53,9,10,0/12,23,53/60,27,20/21,27/29,15,30,12,53,17/18,10,9/25/26,30,58,53,53
lpmh1,lpmh1,1.0,3,1/2,1,1,1,1,58,1,1,1,1,1,1,1,0,1,1,16,1,1,1,1,1,5,13,0/1/18,1,1,1,1
lpmh2,lpmh2,1.0,1,1,3,34,23,23,35,8/9,11,14,7,16,11/13,11,16/19,7,25,8,25,11/12,23,11,7,11,11,16/21,27,7,7,30
lpmh3,lpmh3,1.0,1,1,1,1,1,1,1,1/11,1,12,48,1/12,1,0,12,47,0,12,24,4/5,1,6,54,9,1,14,38,48,50,52
lpmnh0,lpmnh0,1.0,1,1/2,1,5,5,5,50,10,10,30,40,27,26,10,31,40,36,29,36,10,34,10,43,16,18,33,34,41,40,47
lpmnh1,lpmnh1,1.0,1,1/2,4,4,4,4,4,9,4,9,28,12,7,4,9/12,4,18,9,20,4,17/4/15,4,29,4/5,4,14,17/4/15,28,4,4
lpmnh2,lpmnh2,1.0,3,1/2,3,3,3,3,3,3,5,17,23,3,11,5,18/3,23,3,17,3/20,6,3,5,26,5,10,19,3,23,23,23
lpmnh3,lpmnh3,1.0,1,1,19,2,2,2,1,2,2,12,18,2,10/11,2,2,18,2,12,17/2,2,16,3,18,2,7,15,16,18,18,18
lpmnh4,lpmnh4,1.0,1,1,1,1,13,13,35,1,1,5/6/8,22,9,1,1,9/10,1,13,7,13,1,13,1,32,1,1/3,9,13,31,32,32
lpmnh5,lpmnh5,1.0,1,3,32/1,1,1,1,1,1,1/5,1,1,1,1,6,12,30,1,1,17,7,19,6,1,6,10,1/13,21,1,22,1
lpmnh6,lpmnh6,1.0,5,3,64,8,30,32/31,5,8,13,20,45,20/21,8,13,28,45,33/36,20,33,13,33,17,45,13,18,20,33,47,45,62/63
lpmnh7,lpmnh7,1.0,1,1,5,5,7,7/26,6,11,11,23,36,23,16,11,23,33,7,23,7,11,30,11,41,11/14,11,25,32/30,36,33,39
