id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,1,1,16,1,1,1,16,16,1,1,16,16,1,1,1,1,1,1,1,1,8,1,10,1,1,1
mh1,mh1,50.0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,25,28,7,0,31,23,5,0,0,0,0,0,11,23,31,0
mnh0,mnh0,50.0,16,34,1,35,35,21,1,21,21,1,1,1,19,7,1,1,1,7,22,1,2,5,10,10,9,7,12,1,31,22
mnh1,mnh1,50.0,3,30,1,1,1,2,3,2,2,3,21,21,3,10,24,21,3,3,2,3,3,3,5,5,5,7,3,17,2,2
mnh2,mnh2,50.0,1,18,1,1,1,1,1,1,18,1,15,16,1,1,1,1,4,1,18,1,4,5,1,6,1,1,9,1,18,18
mnh3,mnh3,50.0,1,20,1,1,1,1,1,1,1,15,1,18,1,1,18,1,8,13,1,1,8,5,11,11,11,1,1,1,1,1
mnh4,mnh4,50.0,1,23,26,26,26,1,1,1,1,1,21,21,17,14,21,21,2,16,23,17,8,2,1,1,12,1,1,18,23,23
mnh5,mnh5,50.0,20,61,1,1,1,1,29,1,33,1,30,31,1,4,31,30,1,1,1,1,1,2,1,1,1,4,4,1,36,62
mnh6,mnh6,50.0,1,19,1,1,1,1,1,1,1,1,16,18,1,1,18,16,3,12,1,1,5,1,1,1,1,8,9,1,1,20
mnh7,mnh7,50.0,12,26,29,29,29,1,1,1,1,15,1,1,17,1,1,20,1,1,24,15,1,1,1,6,1,1,1,15,1,1
lpsh0,lpsh0,1.0,16,29,1,1,1,25,1,1/26/27,1,1,1,1,1,1,1,1,2/4,1,1,18,2,11,1/13,1/13,1,14,1/15,0,1,30
lpsh1,lpsh1,1.0,1,1,1,1,1,1,14,1,1,1,1,16,1,0/1,16,1,1,6,1/18,13,1,2,1/4,1,1,0,5,13,1,1
lpsh2,lpsh2,1.0,1,19,1,1,1,13,1,1,0,1,1,1,1,1/7/8,1,1,1,1,0/16,11,3,1,1,1,1,7,7,1,0,19
lpsh3,lpsh3,1.0,1,21,1,1/23,1,1,1,1,20,1,1,1,16,1,1,1,1/3,9,20,12,3,1,5,5,7,1,1,1/13,20,22
lpsnh0,lpsnh0,1.0,40,50,1,51,51,1,1,1,1,1,1/44,1/45,41/43,1/33,1,1,3,1,1/46,41,3,4,1,29/31,1,39,33,42,1,1
lpsnh1,lpsnh1,1.0,29,1,1/40,1/40,1/40,1,36,1,1,1,36,38,1,1,36,36,2,31,1,1,3,2,4,11,4,13,1/14,1,1,1
lpsnh2,lpsnh2,1.0,1,7,1,1,1,1,1,1/4,1,1,1,1,1,1,1/3,1,1,1,6/7,1,1,1,1,1,1/2,1,1,1,6,7
lpsnh3,lpsnh3,1.0,19/22,28,1,1,1,1/24,1,24,26,1,1,23,1,16/1,23,1,1/2,1,25,1,8,1,1,1,15,1,1,1,25,25
lpsnh4,lpsnh4,1.0,9,20,1,1,1,1,1,1,17/18,1,12,1,1,1,1,12,1/2/3,1,22,1,2,1,1,1,1/6,1,1,11,22,20
lpsnh5,lpsnh5,1.0,20,30,1/35,1,1,1,1,1,30,1,1,1/29,21,1,1,1,1,1,30,27,2,1,1,4/5,1,1,8,27,30/31,33/34
lpsnh6,lpsnh6,1.0,7,43,1,1,1,1,1,1,1,26/27,31,1,26,21,1,36/37,1/4,7,1,27,3,1,7,7,19/20,21,21,27,1,1
lpsnh7,lpsnh7,1.0,1,30,1,1,1,1,1,20,1,6,1,16,6,1,16,12,1,1,21,6,1,1/3,1,1,1,1,1,6,21,21
lpsnh8,lpsnh8,1.0,9,23,1/24,1/24,1/24,1,1,1,1/18,1,1,1,1,1,1/17,1,1,1/10,21,12,3,7,1,1,1,1,1,12,21,1
lpsnh9,lpsnh9,1.0,10,41,1,1,1,1/20,1,20,20,17,1,1,17,1/8,1,1,1,13,20,17,1,1,4,4,6,7,7,17,20/23,20
lpsnh10,lpsnh10,1.0,2,20,1,1,1,2,2,2,2,2,2,2,16/17/2,10,2,2,2,12,2,15,2,2,5,5,5,9/10,11,2,2,20
lpsnh11,lpsnh11,1.0,12,33,1,1,1,26,2,2/19/20,19,1/2,2,2,1,3,2,2,3,3,30,14,3,3,3,9,3,3,3,1/14,30,19
lpsnh12,lpsnh12,1.0,1,23,1,1,1,1,16,1,1,1,16,17,1,1,19,16,2,1,1,15,11,1,1,1,1,1,1/12,15,1,24
lpsnh13,lpsnh13,1.0,10,22,1,1,1,1,18,20,1,1,1,1,1,7,1,1/19,1/2,1,1/21,16,2,1,3,3,1,1,1,16,1,25/26
lpsnh14,lpsnh14,1.0,9,32,1,1,1,24,1,24,25,1,1/18,1,1,1,1,19/20,1,12,26,15,7,1,1,1,1,1,1,14,25,32
lpsnh15,lpsnh15,1.0,1,21,23,1,1,1,1,10,1,1,1,1,1,4,1,1,2,1,13,1,2,2/3,2,2,2,7,4,1,1,1/22
lpsnh16,lpsnh16,1.0,7/8,23,1,27,27,1/20,1/12,1,1,1,17,1,1,1,1,17,1,1,1/22,1,1,1,1,1,1,1,1,1,22,22
lpsnh17,lpsnh17,1.0,7,43,1,1,1,30,1,30/31,30,1,29,1,1,7,1,29,3,7,30,27,5,3,8/10,12,7,15,7,18,30,40
lpsnh18,lpsnh18,1.0,10,26,1,1,1,18,1,21,18,2,1,16,2,3/8,16,1,1,3,25,2,5,1,3,3,3,8,3,2,18/24,18
lpsnh19,lpsnh19,1.0,14,27,1,1,1,21/22,1,21,24,1,18,1/20,1,1,1,18,1,1/15,24,16,4,1,1/6,1,7,9/10,1,16,24/25,27
lpsnh20,lpsnh20,1.0,6,19,1,1,1,13,2,13,15,2,10,11,2,2,11,10,2,7,17,8,2,2,2,2,2,2/5,2,8,15,15
